"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"建築基準法の全体像：総則、手続き関連
総則
　用語の定義（敷地・建築物・設備・構造、面積関係、など）
　建○○面積の算定方法
　床○○面積の算定方法
　地○○面の設定
　高○○・階○○の算定方法
手続関連
　用語の定義（建築・設計・設計者等）
　確○○申請
　中○○、完○○検査
　仮○○認定","建築基準法の全体像：総則、手続き関連
総則
　用語の定義（敷地・建築物・設備・構造、面積関係）
　建築面積の算定方法
　床面積の算定方法
　地盤面の設定
　高さ・階数の算定方法
手続関連
　用語の定義（建築・設計・設計者等）
　確認申請
　中間、完了検査
　仮使用認定"
"建築基準法の全体像：集団規定
　道○○
　道○○・敷○○
　用○○地域
　容○○率
　建○○率
　絶○○高さの限度
　高○○制限
　天○○率
　日○○規制
　街○○に関する規定","建築基準法の全体像：集団規定
　道路
　道路・敷地
　用途地域
　容積率
　建蔽率
　絶対高さの限度
　高さ制限
　天空率
　日影規制
　街づくりに関する規定"
"建築基準法の全体像：単体規定
防火・耐火
　用語の定義（耐火建築物・耐火構造・耐火性能・材料等）
　耐○○、準○○建築物
　耐○○、準○○構造
　耐○○建築物等とすべき建築物
　防○○地域・準○○地域の耐火建築物等
　防○○区画","建築基準法の全体像：単体規定
防火・耐火
　用語の定義（耐火建築物・耐火構造・耐火性能・材料等）
　耐火、準耐火建築物
　耐火、準耐火構造
　耐火建築物等とすべき建築物
　防火地域・準防火地域の耐火建築物等
　防火区画"
"建築基準法の全体像：単体規定
避難
　廊○○、出○○、階○○
　バ○○
　直○○階段
　避○○階段、特○○階段
　非○○進入口、代○○進入口
　内○○制限
　煙○○
　敷○○内通路
　避○○検証法","建築基準法の全体像：単体規定
避難
　廊下、出入口、階段
　バルコニー
　直通階段
　避難階段、特別避難階段
　非常用進入口、代替進入口
　内装制限
　煙突
　敷地内通路
　避難安全検証法"
"建築基準法の全体像：単体規定
一般（居室関連）
　　居○○、地○○の居室、無○○居室
　　採○○
　　換○○
　　シ○○対策","建築基準法の全体像：単体規定
一般（居室関連）
　　居室、地階の居室、無窓居室
　　採光
　　換気
　　シックハウス対策"
"建築基準法の全体像：単体規定
設備関連
　　排○○
　　非○○照明
　　避○○設備
　　給○○水
　　電○○
　　冷○○塔
　　便○○
　　浄○○槽
　　昇○○機
　　非○○機","建築基準法の全体像：単体規定
設備関連
　　排煙
　　非常用照明
　　避雷設備
　　給排水
　　電気
　　冷却塔
　　便所
　　浄化槽
　　昇降機
　　非常用昇降機"
"建築基準法の全体像：単体規定
構造
　　構○○・規○○
　　仕○○規定
　　木造
　　RC造
　　S造
　　補強コンクリートブロック造
　　構○○計算方法","建築基準法の全体像：単体規定
構造
　　構成・規模
　　仕様規定
　　木造
　　RC造
　　S造
　　補強コンクリートブロック造
　　構造計算方法"
"建築基準法の全体像：建築基準関係規定・建築関連法令
建築基準関連規定
省エネ法・住宅関連法
既存建築物関連","建築基準法の全体像：建築基準関係規定・建築関連法令
建築基準関連規定
省エネ法・住宅関連法
既存建築物関連"
【001用語の定義①】,【001用語の定義①】
"・建築物の定義（法○○条○○号）
①は○○又はか○○に屋根の付いたもの
②①に付属するも○○、へ○○
③観○○のための工作物（野○○など）
④地○○又は高○○の工作物内に設ける事務所、店舗、倉庫など
⑤建築物に設ける建築設○○","・建築物の定義（法2条一号）
①柱又は壁に屋根の付いたもの
②①に付属する門、塀
③観覧のための工作物（野球場など）
④地下又は高架の工作物内に設ける事務所、店舗、倉庫など
⑤建築物に設ける建築設備"
